Date,All Commodity Price Index,Non-Fuel Price Index,Food and Beverage Price Index,Food Price Index,Beverage Price Index,Industrial Inputs Price Index,Agricultural Raw Materials Index,Metals Price Index,Fuel Energy Index
01-12-2004,81.58204707,92.39092932,94.50694338,94.53277131,94.26852762,90.2535827,94.17562468,87.42064553,75.25847598
01-01-2005,86.60532392,95.02696886,94.92026638,94.88279959,95.26611964,95.13474706,97.89797659,93.13883378,81.67836948
01-02-2005,88.88714863,97.44928968,98.43567219,97.56701108,106.4542212,96.45296298,97.41271191,95.75972501,83.87799908
01-03-2005,97.31410856,101.9814381,103.4665057,102.5957598,111.5042992,100.4813989,101.4933634,99.75044495,94.58355886
01-04-2005,96.6124225,99.26863069,100.4211359,100.1604011,102.82796,98.10450652,98.64577666,97.71354072,95.05844857
01-05-2005,93.54866994,98.84099536,100.886452,100.6881316,102.7171338,96.77491749,99.24945865,94.98752722,90.45247598
01-06-2005,99.95691707,99.6883512,101.6066718,101.2448954,104.9462048,97.75069104,99.60113697,96.41409212,100.1140374
01-07-2005,103.0348295,99.74428737,101.8709799,102.2501216,98.37115006,97.59615465,99.41721924,96.28077822,104.9599109
01-08-2005,109.1463384,100.4939789,100.3138612,100.6333326,97.36484342,100.6759124,101.422526,100.1366247,114.2082689
01-09-2005,109.3097199,100.0677854,99.55343687,100.116455,94.35625665,100.5873194,101.5393912,99.89962663,114.7165722
01-10-2005,106.773426,101.0271579,99.74855907,100.3166004,94.50501015,102.318647,101.5546372,102.8705003,110.1351922
01-11-2005,102.8434706,101.3652848,98.0273289,98.39414192,94.64130397,104.7368922,101.0963463,107.3665014,103.7082605
01-12-2005,105.9676249,105.0458317,100.7491301,101.1503501,97.04549716,109.3858504,100.6694559,115.681805,106.5069059
01-01-2006,113.1209528,108.6542576,102.3673242,101.7300471,108.2499846,115.0045725,102.0929233,124.3308089,115.7341245
01-02-2006,111.8145063,111.9634851,105.3528887,104.8875314,109.6485687,118.6407261,105.0741298,128.4400386,111.7273485
01-03-2006,113.3035515,112.7220906,105.8696691,105.8826839,105.7495305,119.6435948,105.0378645,130.193486,113.6437263
01-04-2006,123.212915,119.1149752,107.9865775,108.3179021,104.9281434,130.3555637,105.376419,148.3982944,125.610352
01-05-2006,127.6007258,129.3545902,114.7671322,115.8683407,104.6019547,144.0891114,109.4048591,169.1419558,126.5746543
01-06-2006,125.9430839,125.8118839,115.3615948,116.586502,104.0545634,136.3675275,111.9831914,153.980621,126.0198404
01-07-2006,131.0284586,127.9436598,114.5791974,115.2316562,108.5563965,141.4428557,111.4177404,163.1303506,132.833173
01-08-2006,130.3877312,127.6094143,112.6035673,112.8186611,110.6180521,142.7665424,111.4388186,165.3949267,132.013143
01-09-2006,119.1675173,125.1525264,108.0038695,107.9821722,108.2041558,142.4740671,109.4264286,166.3447661,115.6660793
01-10-2006,116.0513136,128.1721382,109.559051,109.8575113,106.8039855,146.9728729,109.9283807,173.7305464,108.9602108
01-11-2006,117.3435209,130.2501094,113.364108,113.550543,111.6431396,147.3063467,110.0342378,174.2284305,109.792719
01-12-2006,120.9493369,132.350778,114.4807525,114.1560914,117.4776759,150.4009598,113.520918,177.0398489,114.2790984
01-01-2007,112.9878935,131.1544464,114.6274965,114.2939241,117.70668,147.8480125,116.1034774,170.7774645,102.3598299
01-02-2007,118.5079633,134.4061818,118.1826286,118.2898514,117.1928628,150.7932924,118.6558472,174.0065481,109.206954
01-03-2007,122.414294,136.647631,117.8477763,117.9322687,117.0678321,155.6370161,116.6975811,183.7634291,114.0872982
01-04-2007,129.0327882,142.5870554,118.4869725,118.4022455,119.2690806,166.9301028,118.4466113,201.9503004,121.1030718
01-05-2007,129.9510291,144.4083579,120.0353954,120.0891559,119.5391364,169.0270359,118.7012635,205.3779347,121.4929902
01-06-2007,133.0572013,143.852776,125.0476805,125.0719004,124.824108,162.8474548,115.0730826,197.3554472,126.7414155
01-07-2007,138.2946859,143.6432505,127.0477715,126.9475361,127.973038,160.4060365,110.3888569,196.5340352,135.16559
01-08-2007,133.1676828,138.5726655,128.4746388,129.1783604,121.9786345,148.7724953,105.6196848,179.9422791,130.0055805
01-09-2007,140.7490161,141.254942,133.9801121,134.6979794,127.3535299,148.6031131,112.2746869,174.8435636,140.4530318
01-10-2007,147.9042945,143.4157273,135.8584175,136.5871005,129.1319967,151.0492259,111.1634615,179.8591838,150.5302621
01-11-2007,157.8428804,142.7387838,137.5423242,138.7422916,126.4655107,147.9876314,113.6745816,172.7723519,166.6793009
01-12-2007,156.7423675,143.138252,144.4120273,145.8443739,131.1901369,141.8516352,113.1759344,162.5644319,164.701247
01-01-2008,162.455275,151.9902014,152.0623745,153.4808887,138.9681705,151.9173007,115.2517444,178.4012644,168.5777062
01-02-2008,171.382091,163.0323902,166.5514416,167.3444679,159.2310727,159.4778616,116.0748651,190.8283578,176.2669556
01-03-2008,181.8093101,169.778637,173.5224615,174.9921599,159.95578,165.9970691,117.4449762,201.0668184,188.8476713
01-04-2008,189.7446961,168.2914214,171.8318393,173.7081913,154.5113676,164.7153109,117.3161262,198.9523009,202.295606
01-05-2008,204.0860869,166.2103802,172.1299146,173.8598916,156.1606198,160.2311681,118.3857845,190.4565822,226.2446893
01-06-2008,215.9046847,168.9288566,179.7799799,181.128641,167.3305845,157.9683379,118.7827832,186.2725261,243.3871738
01-07-2008,219.8994998,169.4742905,178.6573648,179.8968172,167.2160677,160.1986372,121.7610603,187.9625523,249.3999966
01-08-2008,195.9623439,159.2198748,167.2751064,167.4617228,165.5524642,151.0834346,117.9856824,174.9903313,217.4579629
01-09-2008,176.3746948,149.6391282,155.2229099,154.8161687,158.9775089,143.9990537,116.1681625,164.1016345,192.0159288
01-10-2008,139.1830695,126.3755685,130.3584784,129.8293963,135.2423981,122.3525049,109.7158091,131.4801393,146.675902
01-11-2008,114.8520638,116.8152743,122.4455652,121.8080521,128.3304033,111.1282217,104.1912337,116.13889,113.7035176
01-12-2008,98.24138826,109.6863842,120.2248796,118.8908463,132.5392464,99.04164501,87.32377064,107.5056038,91.54566862
01-01-2009,102.4871538,115.3680384,129.3228433,127.8403819,143.0073396,101.2725483,89.6570008,109.6625953,94.95138946
01-02-2009,98.15756931,112.6199849,125.928819,124.0160235,143.5856983,99.17697796,87.1727726,107.8477571,89.69655449
01-03-2009,100.136529,111.2350758,126.8788916,125.7210291,137.5670379,95.43354711,81.4450575,105.5375981,93.64349417
01-04-2009,104.1580157,116.3146235,132.7912961,131.877532,141.2261879,99.6718416,82.09892345,112.3649676,97.0459784
01-05-2009,114.9338088,123.744291,142.6292223,142.277643,145.8746257,104.6689717,85.45387744,118.5482608,109.7793711
01-06-2009,128.3075973,128.9299558,144.5227268,144.1440028,148.0187012,113.1799866,88.65681377,130.8933635,127.9434959
01-07-2009,123.522563,129.842388,139.228883,137.8217291,152.2182205,120.3612632,93.13820909,140.0247962,119.8252461
01-08-2009,132.9120027,137.1391996,138.2879295,136.190918,157.6452937,135.9788889,100.9075611,161.3113225,130.4389458
01-09-2009,127.5518596,132.356772,134.7886909,131.3981207,166.086804,129.9003358,100.3190989,151.267212,124.7408191
01-10-2009,134.8064609,134.7950096,136.1594583,132.41803,170.6963166,133.4168053,100.1132057,157.472388,134.8131603
01-11-2009,140.8515769,140.9066507,140.1110808,136.826174,170.4338222,141.7102411,107.180758,166.6512939,140.8193569
01-12-2009,140.8145344,145.8930619,142.6221633,138.9302066,176.7023525,149.1969361,111.0068616,176.7820772,137.8434195
01-01-2010,146.0524709,150.0068233,141.8674755,138.3898076,173.9695806,158.2282277,112.6028712,191.1839607,143.7390376
01-02-2010,142.376425,147.6379835,140.846247,137.9611974,167.4779355,154.4981907,114.7153955,183.2337728,139.2982307
01-03-2010,148.8207152,153.1536296,141.5771455,139.1153698,164.3016221,164.8468219,117.5912318,198.9800918,146.2858099
01-04-2010,157.9309162,162.5591357,145.5564958,142.9489044,169.6269863,179.7331875,122.9062791,220.7799335,155.2232473
01-05-2010,146.6609286,155.2739379,144.2941878,141.8343309,167.000952,166.3643803,121.6827933,198.6384174,141.6220193
01-06-2010,143.6808982,149.7402199,141.9449001,138.4812261,173.9178282,157.6141281,122.6399139,182.8764154,140.1359849
01-07-2010,144.2487702,151.9445021,149.0762394,145.8220856,179.1151017,154.8416812,120.8847001,179.3692091,139.7465001
01-08-2010,148.5796884,160.9417318,155.5718198,152.8081543,181.0830193,166.3657805,122.5416779,198.0204466,141.3474642
